48 hosts, 0 routers, 0 mobiles, 0 accesspoints
Simulation time                     : 58591566
Events raised                       : 524068
Messages generated                  : 8883
Messages delivered                  : 7433
Message bandwidth                   : 10404
Average delivery time               : 3931834
Frames transmitted                  : 187524
Frames received                     : 187483
Efficiency (bytes AL) / (bytes PL)  : 10.59
Transmission cost                   : 351626
EV_REBOOT                           : 48
EV_PHYSICALREADY                    : 187483
EV_APPLICATIONREADY                 : 8883
EV_TIMER1                           : 327654

END-TO-END PERFORMANCE
To node SB
- from HOM :        1 msgs,    18292 ms latency,      0.0 kB/s throughput
- from SLS :        2 msgs,     1837 ms latency,      0.1 kB/s throughput
- from IGB :        2 msgs,      950 ms latency,      0.2 kB/s throughput
- from VK  :        2 msgs,      175 ms latency,      0.1 kB/s throughput
- from SUL :        1 msgs,    12230 ms latency,      0.1 kB/s throughput
- from FOR :        2 msgs,      225 ms latency,      0.2 kB/s throughput
- from SGM :        2 msgs,      646 ms latency,      0.1 kB/s throughput
- from NK  :        1 msgs,     3844 ms latency,      0.1 kB/s throughput
- from BLK :        1 msgs,     7295 ms latency,      0.0 kB/s throughput
- from ZWB :        1 msgs,    33475 ms latency,      0.1 kB/s throughput
- from WLM :        1 msgs,    35346 ms latency,      0.2 kB/s throughput
- from WND :        1 msgs,    10091 ms latency,      0.1 kB/s throughput
- from SPE :        1 msgs,     5808 ms latency,      0.1 kB/s throughput
- from MRP :        1 msgs,    39849 ms latency,      0.0 kB/s throughput
- from OTW :        1 msgs,    19267 ms latency,      0.1 kB/s throughput
- from NMB :        1 msgs,    31136 ms latency,      0.1 kB/s throughput
- from DIL :        1 msgs,     3412 ms latency,      0.0 kB/s throughput
- from SWB :        1 msgs,    18051 ms latency,      0.1 kB/s throughput
- from WLF :        1 msgs,    51982 ms latency,      0.1 kB/s throughput
- from MZG :        1 msgs,    13949 ms latency,      0.1 kB/s throughput
- from NLB :        1 msgs,     7500 ms latency,      0.1 kB/s throughput
- from BEK :        1 msgs,    34384 ms latency,      0.1 kB/s throughput
- from MTL :        1 msgs,    54228 ms latency,      0.0 kB/s throughput
- from LSH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PTL :        2 msgs,      669 ms latency,      0.2 kB/s throughput
- from WDG :        1 msgs,    15222 ms latency,      0.2 kB/s throughput
- from UBH :        1 msgs,    40919 ms latency,      0.1 kB/s throughput
- from HEW :        1 msgs,     2607 ms latency,      0.2 kB/s throughput
- from LEB :        1 msgs,    42568 ms latency,      0.1 kB/s throughput
- from EPB :        1 msgs,    19861 ms latency,      0.1 kB/s throughput
- from SCH :        1 msgs,    10399 ms latency,      0.1 kB/s throughput
- from LED :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SSB :        1 msgs,    38292 ms latency,      0.1 kB/s throughput
